# 7: BIG_BENCH query19
13 0 0
Reducer5 1 HK
Map1 1 FL
Map10 1 FL
Reducer7 1 HK
Map3 1 LA
Reducer6 1 NY
Reducer9 1 BA
Map13 1 BA
Reducer12 1 NY
Map11 1 BA
Map8 1 FL
Map4 1 BA
Reducer2 1 LA
12
Reducer5 Reducer6 530
Map1 Reducer2 1
Map10 Reducer9 1
Map3 Reducer2 1
Reducer6 Reducer7 1598
Reducer9 Map11 10
Map13 Reducer6 535
Reducer12 Reducer6 535
Map11 Reducer12 25
Map8 Reducer9 1
Map4 Reducer5 100
Reducer2 Map4 100
# 13: BIG_BENCH query26
4 1 11
Map1 1 HK
Map4 1 BA
Reducer3 2 HK NY
Reducer2 1 NY
3
Map1 Reducer2 1154
Map4 Reducer2 497
Reducer2 Reducer3 1227
# 12: BIG_BENCH query24
19 2 13
Reducer17 3 LA FL HK
Map18 1 LA
Reducer16 2 HK BA
Reducer15 1 FL
Map19 1 BA
Reducer10 3 BA FL LA
Reducer4 3 NY LA HK
Map1 1 LA
Reducer7 1 FL
Reducer9 3 FL LA NY
Reducer14 1 BA
Map13 1 NY
Reducer8 1 FL
Map11 1 NY
Map12 1 BA
Map5 1 FL
Reducer3 1 NY
Map6 1 FL
Reducer2 1 FL
18
Reducer17 Reducer4 146
Map18 Reducer14 1
Reducer16 Reducer17 3506
Reducer15 Reducer16 1702
Map19 Reducer16 1761
Reducer10 Reducer4 443
Map1 Reducer2 1
Reducer7 Reducer8 1
Reducer9 Reducer10 1524
Reducer14 Reducer15 2
Map13 Reducer14 1
Reducer8 Reducer9 362
Map11 Reducer7 1
Map12 Reducer9 412
Map5 Reducer2 1
Reducer3 Reducer4 33
Map6 Reducer7 1
Reducer2 Reducer3 1
# 20: BIG_BENCH query9
9 3 16
Reducer5 1 FL
Reducer4 1 NY
Map1 1 FL
Map8 1 NY
Map9 1 LA
Map6 1 BA
Reducer3 1 NY
Map7 1 LA
Reducer2 1 FL
8
Reducer4 Reducer5 224
Map1 Reducer2 1105
Map8 Reducer3 97
Map9 Reducer4 111
Map6 Reducer2 806
Reducer3 Reducer4 258
Map7 Reducer3 97
Reducer2 Reducer3 635
# 10: BIG_BENCH query21
16 4 22
Map15 1 LA
Map16 1 LA
Reducer5 1 LA
Map1 1 FL
Map10 1 LA
Reducer4 1 BA
Reducer7 1 FL
Reducer6 1 BA
Map13 1 NY
Reducer9 1 NY
Map14 1 LA
Reducer8 1 HK
Map11 1 BA
Map12 1 NY
Reducer3 1 NY
Reducer2 1 LA
15
Map15 Reducer6 26
Map16 Reducer7 148
Reducer5 Reducer6 26
Map1 Reducer2 904
Map10 Reducer2 853
Reducer4 Reducer5 915
Reducer7 Reducer8 293
Reducer6 Reducer7 186
Map13 Reducer5 1
Map14 Reducer6 27
Reducer8 Reducer9 1
Map11 Reducer3 1878
Map12 Reducer4 916
Reducer3 Reducer4 2734
Reducer2 Reducer3 2640
# 0: BIG_BENCH query10
2 5 35
Map1 1 NY
Reducer2 1 FL
1
Map1 Reducer2 56
# 14: BIG_BENCH query27
2 6 67
Map1 1 LA
Reducer2 1 LA
1
Map1 Reducer2 56
# 18: BIG_BENCH query6
11 7 70
Reducer5 1 HK
Reducer4 1 HK
Map10 1 BA
Map1 1 BA
Reducer9 1 BA
Reducer8 2 NY HK
Map11 1 HK
Reducer3 1 NY
Map6 1 BA
Map7 1 LA
Reducer2 1 BA
10
Reducer4 Reducer5 207
Map10 Reducer8 393
Map1 Reducer2 1514
Reducer9 Reducer4 101
Reducer8 Reducer9 886
Map11 Reducer4 70
Reducer3 Reducer4 68
Map6 Reducer2 1516
Map7 Reducer8 643
Reducer2 Reducer3 3029
# 1: BIG_BENCH query11
7 8 71
Map1 1 LA
Reducer4 1 HK
Reducer7 2 HK BA
Map5 1 BA
Map6 1 FL
Reducer3 1 BA
Reducer2 1 NY
6
Map1 Reducer2 9
Reducer7 Reducer3 111
Map5 Map6 90
Map6 Reducer7 223
Reducer3 Reducer4 33
Reducer2 Reducer3 13
# 14: BIG_BENCH query27
2 9 72
Map1 1 LA
Reducer2 1 NY
1
Map1 Reducer2 56
# 12: BIG_BENCH query24
19 10 74
Reducer17 3 HK NY LA
Map18 1 FL
Reducer16 2 BA NY
Reducer15 1 BA
Map19 1 FL
Reducer10 3 FL NY LA
Reducer4 3 HK LA FL
Map1 1 LA
Reducer7 1 FL
Reducer9 3 LA FL NY
Reducer14 1 LA
Map13 1 LA
Reducer8 1 NY
Map11 1 NY
Map12 1 HK
Map5 1 LA
Reducer3 1 BA
Map6 1 LA
Reducer2 1 NY
18
Reducer17 Reducer4 146
Map18 Reducer14 1
Reducer16 Reducer17 3506
Reducer15 Reducer16 1702
Map19 Reducer16 1761
Reducer10 Reducer4 443
Map1 Reducer2 1
Reducer7 Reducer8 1
